Üniversite,Bölüm/Fakülte,Ücret,Akademik yıl
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Sağlık Bilimleri Fakültesinin Fizyoterapi ve Rehabilitasyon Bölümü için zorunlu hazırlık sınıfı dahil,4250000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Beslenme ve Diyetetik Bölümü için zorunlu hazırlık sınıfı dahil,4100000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Ergoterapi Bölümü Zorunlu Hazırlık Sınıfı Dahil,3400000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Dil ve Konuşma Terapisi Bölümü Zorunlu Hazırlık Sınıfı Dahil,3400000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Hemşirelik Bölümü Zorunlu Hazırlık Sınıfı Dahil,3400000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Ebelik Bölümü Zorunlu Hazırlık Sınıfı Dahil,3150000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,İktisadi İdari ve Sosyal Bilimler Fakültesinin Psikoloji Bölümü Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı Dahil,3400000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,"Uluslararası Ticaret ve Finansman Bölümü Türkçe ve İngilizce
Programı Zorunlu Hazırlık Sınıfı Dahil",3150000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Yönetim Bilişim Sistemleri Bölümü Zorunlu Hazırlık Sınıfı Dahil,3150000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Siyasal Bilgiler Fakültesinin Siyaset Bilimi ve Uluslararası İlişkiler Bölümü İngilizce Programı Zorunlu Hazırlık Sınıfı Dahil,3150000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Güzel Sanatlar Tasarım ve Mimarlık Fakültesinin Gastronomi ve Mutfak Sanatları Bölümü Zorunlu Hazırlık Sınıfı Dahil,4200000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,"Güzel Sanatlar Tasarım ve Mimarlık Fakültesinin İç Mimarlık ve
Çevre Tasarımı Bölümü Zorunlu Hazırlık Sınıfı Dahil",4200000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,İletişim Fakültesinin Tüm Bölümleri Zorunlu Hazırlık Sınıfı Dahil,3220000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,"Tıp Fakültesi Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı
için",5650000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Diş Hekimliği Fakültesi Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı için,5650000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Eczacılık Fakültesi Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı için,5650000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Bu ücretlere KDV ayrıca ilave edilecektir. İsteğe bağlı hazırlık sınıfı okuyacak öğrenciler yerleştikleri programın ücreti üzerinden %25 indirimli program ücreti ile hazırlık sınıfına kabul edilirler.,,2020
ATILIM ÜNİVERSİTESİ - ANKARA,Tıp Fakültesi öğretim ücreti,6973600 TL,2020
ATILIM ÜNİVERSİTESİ - ANKARA,Diğer Tüm Bölümlerimiz için Öğretim Ücreti,4784000 TL,2020
ATILIM ÜNİVERSİTESİ - ANKARA,"Pilotaj Bölümü için uçuş eğitimi ücreti bu ücrete dahil değildir. Pilotaj Bölümünün burslu programındaki öğrenciler için, uçuş eğitimi ücretinin burs oranı kadarı üniversite tarafından karşılanacaktır",,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Psikoloji Bölümü,3680000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,İç Mimarlık ve Çevre Tasarımı Bölümü,3680000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Mimarlık Bölümü,3680000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,İnşaat Mühendisliği Bölümü,3680000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Beslenme ve Diyetetik Bölümü,3680000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Çocuk Gelişimi Bölümü,3680000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Fizyoterapi ve Rehabilitasyon Bölümü,3680000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Sosyal Hizmet Bölümü,3680000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Hemşirelik Bölümü,3680000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Sağlık Yönetimi Bölümü,3220000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Odyoloji Bölümü,3220000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Spor Bilimleri Bölümü,3220000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Bilgisayar Mühendisliği Bölümü,3220000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Elektrik-Elektronik Mühendisliği Bölümü,3220000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Gıda Mühendisliği Bölümü,3220000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Makine Mühendisliği Bölümü,3220000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Gastronomi ve Mutfak Sanatlar Bölümü,3220000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,İngiliz Dili ve Edebiyatı Bölümü,2760000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Türk Dili ve Edebiyatı Bölümü,2760000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Uluslararası İlişkiler Bölümü,2760000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Siyaset Bilimi ve Kamu Yönetimi Bölümü,2760000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Harita Mühendisliği Bölümü,2760000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,Maliye Bölümü,2300000 TL,2020
AVRASYA ÜNİVERSİTESİ - TRABZON,İşletme Bölümü,2300000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,İngilizce Hazırlık Programı,3772000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,Mühendislik Fakültesi,4140000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,Ekonomi Bölümü,4048000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,İşletme Bölümü,4048000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,Siyaset Bilimi ve Uluslararası İlişkiler Bölümü,4048000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,Psikoloji Bölümü,4232000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,Turizm ve Otel İşletmeciliği Bölümü,4048000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,Gastronomi ve Mutfak Sanatları Bölümü,4324000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,Güzel Sanatlar ve Mimarlık Fakültesi,4508000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,Hukuk Fakültesi,5106000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,Diş Hekimliği Fakültesi,7544000 TL,2020
ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA,Sağlık Bilimleri Fakültesi,4232000 TL,2020
ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ - KIBRIS,Sanat Fakültesi,3900000 TL,2020
ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ - KIBRIS,Tasarım Fakültesi,3900000 TL,2020
ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ - KIBRIS,İletişim Fakültesi,3900000 TL,2020
ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ - KIBRIS,İngilizce Hazırlık Okulu,3900000 TL,2020
ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ - KIBRIS,"Bu ücretlere % 5 KDV dahil değildir. Yerleşen tüm öğrencilerin yılda bir kez güz döneminde ödenen 3000TL kayıt (%
5 KDV dahil) ücretini ödemesi gerekmektedir.",,2020
BAŞKENT ÜNİVERSİTESİ - ANKARA,Tıp Fakültesi,6808000 TL,2020
BAŞKENT ÜNİVERSİTESİ - ANKARA,Diş Hekimliği Fakültesi,6808000 TL,2020
BAŞKENT ÜNİVERSİTESİ - ANKARA,Eczacılık Fakültesi,5888000 TL,2020
BAŞKENT ÜNİVERSİTESİ - ANKARA,Mühendislik Fakültesi,4784000 TL,2020
BAŞKENT ÜNİVERSİTESİ - ANKARA,Hukuk Fakültesi,4784000 TL,2020
BAŞKENT ÜNİVERSİTESİ - ANKARA,"Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi Mimarlık Bölümü",4784000 TL,2020
BAŞKENT ÜNİVERSİTESİ - ANKARA,Bu Fakültelerin dışında kalan bütün lisans programları,4416000 TL,2020
BAŞKENT ÜNİVERSİTESİ - ANKARA,İngilizce Hazırlık Programı,3680000 TL,2020
BAHÇEŞEHİR ÜNİVERSİTESİ - İSTANBUL,Tıp Fakültesi Programı,10943400 TL,2020
BAHÇEŞEHİR ÜNİVERSİTESİ - İSTANBUL,Diş Hekimliği Fakültesi Programı,10017900 TL,2020
BAHÇEŞEHİR ÜNİVERSİTESİ - İSTANBUL,Mühendislik ve Doğa Bilimleri Fakültesi,6779500 TL,2020
BAHÇEŞEHİR ÜNİVERSİTESİ - İSTANBUL,Mimarlık Fakültesi,6779500 TL,2020
BAHÇEŞEHİR ÜNİVERSİTESİ - İSTANBUL,Hukuk Fakültesi Programı,7084000 TL,2020
BAHÇEŞEHİR ÜNİVERSİTESİ - İSTANBUL,İletişim Fakültesi,6397600 TL,2020
BAHÇEŞEHİR ÜNİVERSİTESİ - İSTANBUL,İktisadi İdari ve Sosyal Bilimler Fakültesi,6502500 TL,2020
BAHÇEŞEHİR ÜNİVERSİTESİ - İSTANBUL,Yabancı Diller Y.O zorunlu ve isteğe bağlı İngilizce Hazırlık Program,6502500 TL,2020
BAHÇEŞEHİR ÜNİVERSİTESİ - İSTANBUL,Eğitim Fakültesi,6281800 TL,2020
BAHÇEŞEHİR ÜNİVERSİTESİ - İSTANBUL,Sağlık Bilimleri Fakültesi,6281800 TL,2020
BEYKENT ÜNİVERSİTESİ - İSTANBUL,Hukuk Fakültesi,45160960 TL,2020
BEYKENT ÜNİVERSİTESİ - İSTANBUL,Psikoloji Bölümü,39847960 TL,2020
BEYKENT ÜNİVERSİTESİ - İSTANBUL,Tıp Fakültesi,87664960 TL,2020
BEYKENT ÜNİVERSİTESİ - İSTANBUL,Diş Hekimliği Fakültesi,87664960 TL,2020
BEYKENT ÜNİVERSİTESİ - İSTANBUL,Tüm Programlar,33687640 TL,2020
BEYKENT ÜNİVERSİTESİ - İSTANBUL,Yabancı Dil Hazırlık Programı,33687640 TL,2020
ÇANKAYA ÜNİVERSİTESİ - ANKARA,Tüm Bölümler,47380000 TL,2020
ÇAĞ ÜNİVERSİTESİ - İÇEL MERSİN,Tüm Lisans Bölümleri,3329630 TL,2020
ÇAĞ ÜNİVERSİTESİ - İÇEL MERSİN,Zorunlu Hazırlık Sınıfı,3329630 TL,2020
DOĞUŞ ÜNİVERSİTESİ (İSTANBUL),Türkçe ve İngilizce Lisans programları,350658 TL,2020
DOĞUŞ ÜNİVERSİTESİ (İSTANBUL),Hukuk Fakültesi,3968052 TL,2020
DOĞUŞ ÜNİVERSİTESİ (İSTANBUL),Psikoloji Bölümünde (Türkçe ve İngilizce),3719100 TL,2020
DOĞUŞ ÜNİVERSİTESİ (İSTANBUL),İngilizce Hazırlık - Lisans,350658 TL,2020
DOĞU AKDENİZ ÜNİVERSİTESİ- KIBRIS,Tıp Fakültesi ve Diş Hekimliği Fakültesi,6196000 TL,2020
DOĞU AKDENİZ ÜNİVERSİTESİ- KIBRIS,Eczacılık Fakültesi,4072000 TL,2020
DOĞU AKDENİZ ÜNİVERSİTESİ- KIBRIS,Hukuk Fakültesi ve Sağlık Bilimleri Fakültesi'nin Beslenme ve Diyetetik ile Fizyoterapi ve Rehabilitasyon programları,3718000 TL,2020
DOĞU AKDENİZ ÜNİVERSİTESİ- KIBRIS,"Fen ve Edebiyat Fakültesi'nin Psikoloji (Türkçe) ve Psikoloji
(İngilizce) Programları",3453000 TL,2020
DOĞU AKDENİZ ÜNİVERSİTESİ- KIBRIS,"Eğitim Fakültesi, Mühendislik Fakültesi, Mimarlık Fakültesi",3319000 TL,2020
DOĞU AKDENİZ ÜNİVERSİTESİ- KIBRIS,Sağlık Bilimleri Fakültesi'nin Hemşirelik,3188000 TL,2020
DOĞU AKDENİZ ÜNİVERSİTESİ- KIBRIS,Fen ve Edebiyat Fakültesi'nin diğer programları ile Sağlık Bilimleri Fakültesinin diğer bölümleri,2444000 TL,2020
DOĞU AKDENİZ ÜNİVERSİTESİ- KIBRIS,Tüm Programlar,2647000 TL,2020
DOĞU AKDENİZ ÜNİVERSİTESİ- KIBRIS,İngilizce Hazırlık Okulu,2647000 TL,2020
DOĞU AKDENİZ ÜNİVERSİTESİ- KIBRIS,"Belirtilen öğrenim ücretlerine %5 KDV tutarı, Öğrenci Hizmetleri Fonu için dönemlik 825 TL ve Hazırlık Okulu için dönemlik 900TL kitap ücreti dahil değildir",,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Edebiyat Fakültesi; Psikoloji,4968000 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Tarih Bölümü ile Türk Dili ve Edebiyatı Bölümü,3937600 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Eğitim Fakültesi; Arapça Öğretmenliği,3707600 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Okul Öncesi Öğretmenliği,4535600 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Rehberlik ve Psikolojik Danışmanlık Programı ile Türkçe Öğretmenliği,4176800 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi; Geleneksel Türk Sanatları,2300000 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Grafik Tasarımı,3404000 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Hukuk Fakültesi,4535600 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,İslami İlimler Fakültesi,3404000 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Mimarlık ve Tasarım Fakültesi; İç Mimarlık ile Mimarlık,4048000 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,"Mühendislik Fakültesi; Bilgisayar Mühendisliği , Elektrik Elektronik Mühendisliği ile İnşaat Mühendisliği",3983600 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Biyomedikal Mühendisliği,2300000 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Güzel Sanatlar Meslek Yüksekokulu; Mimari Restorasyon,2300000 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Ambalaj Tasarımı Programı,2070000 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Çocuk Gelişimi Programı II. Öğretimi,2097600 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,"Eğitim Fakültesi , FenEdebiyat Fakültesi'nin Psikoloji (İngilizce),
Sağlık Bilimleri Fakültesi'nin Fizyoterapi ve Rehabilitasyon, Beslenme ve Diyetetik , Turizm ve Otel İşletmeciliği Yüksekokulu'nun Gastronomi ve Mutfak Sanatları ve Sağlık",2392000 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Engelli Destek Programı,2070000 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Hazırlık Sınıfı,4130434 TL,2020
FATİH SULTAN MEHMET ÜNİVERSİTESİ,Arapça Hazırlık,2760000 TL,2020
LEFKE AVRUPA ÜNİVERSİTESİ,Diş Hekimliği Fakültesi,4590000 TL,2020
LEFKE AVRUPA ÜNİVERSİTESİ,Hukuk Fakültesi,2990000 TL,2020
LEFKE AVRUPA ÜNİVERSİTESİ,"(İngilizce), Sağlık Bilimleri Fakültesi'nin Fizyoterapi ve Rehabilitasyon programları, Beslenme ve Diyetetik programları, Turizm ve Otel İşletmeciliği Yüksekokulu'nun Gastronomi ve Mutfak Sanatları programı ve Sağlık Yüksekokulu'nun Hemşirelik
(Fİenng-iElidzceeb)iypartogFraakmülltaersıi'nin Psikoloji (Türkçe) ve Sağlık",2490000 TL,2020
LEFKE AVRUPA ÜNİVERSİTESİ,Yüksekokulu'nun Hemşirelik (Türkçe) programları,2690000 TL,2020
LEFKE AVRUPA ÜNİVERSİTESİ,Diğer lisans (4 yıllık) programları,2290000 TL,2020
LEFKE AVRUPA ÜNİVERSİTESİ,Hazırlık Okulu eğitim ücreti (hazırlık kitapları dahil),2490000TL,2020
LEFKE AVRUPA ÜNİVERSİTESİ,"Belirtilen eğitim ücretlerine Kayıt ve Öğrenci Etkinlikleri Fonu olan do¨nemlik 1,100 TL ve %5 KDV eklenecektir.",,2020
MALTEPE ÜNİVERSİTESİ,Hazırlık Sınıfı,4029600 TL,2020
MALTEPE ÜNİVERSİTESİ,Eğitim Fakültesinin; Okul Öncesi Öğretmenliği,4462000 TL,2020
MALTEPE ÜNİVERSİTESİ,Rehberlik ve Psikolojik Danışmanlık (Türkçe ve İngilizce) Bölümü,4140000 TL,2020
MALTEPE ÜNİVERSİTESİ,Özel Eğitim Öğretmenliği,40296 00 TL,2020
MALTEPE ÜNİVERSİTESİ,İlköğretim Matematik Öğretmenliği,3753600 TL,2020
MALTEPE ÜNİVERSİTESİ,Güzel Sanatlar Fakültesinin Gastronomi ve Mutfak Sanatları,3891600 TL,2020
MALTEPE ÜNİVERSİTESİ,İngilizce Öğretmenliği,3851851 TL,2020
MALTEPE ÜNİVERSİTESİ,"Çizgi Film ve Animasyon, Grafik Tasarımı, Sahne Sanatları Bölümü",3588000T L,2020
MALTEPE ÜNİVERSİTESİ,Hukuk Fakültesi,5060000 TL,2020
MALTEPE ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesinin tüm bölümleri,4305600 TL,2020
MALTEPE ÜNİVERSİTESİ,İletişim Fakültesinin Gazetecilik Bölümü ve diğer tümr bölümler  is,3974400 TL / 3974400 TL,2020
MALTEPE ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesinin; Felsefe Bölümü,4305600 TL,2020
MALTEPE ÜNİVERSİTESİ,Sosyal Hizmet,4232000 TL,2020
MALTEPE ÜNİVERSİTESİ,Sosyoloji (Türkçe ve İngilizce),4029600 TL,2020
MALTEPE ÜNİVERSİTESİ,Psikoloji (Türkçe ve İngilizce),4434400 TL,2020
MALTEPE ÜNİVERSİTESİ,Mimarlık ve Tasarım Fakültesinin; Gemi ve Yat Tasarımı,4609200 TL,2020
MALTEPE ÜNİVERSİTESİ,İç Mimarlık,4563200 TL,2020
MALTEPE ÜNİVERSİTESİ,Mimarlık (Türkçe ve İngilizce),4738000 TL,2020
MALTEPE ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesinin tüm bölümleri,4563200 TL,2020
MALTEPE ÜNİVERSİTESİ,Tıp Fakültesi (Türkçe ve İngilizce),7093200 TL,2020
MALTEPE ÜNİVERSİTESİ,Hemşirelik Yüksekokulu,2989130 TL,2020
MALTEPE ÜNİVERSİTESİ,Konservatuvar,3670800 TL,2020
TOBB,Tıp Fakültesi,682272 TL,2020
TOBB,Diğer bütün lisans bölümleri,487416 TL,2020
TÜRK HAVA KURUMU,Hava Ulaştırma Fakültesi Bölümleri,38640 TL,2020
TÜRK HAVA KURUMU,Havacılık ve Uzay Bilimleri Fakültesi ve Mühendislik Fakültesi Bölü,38640 TL,2020
TÜRK HAVA KURUMU,İşletme Fakültesi Bölümleri,36800 TL,2020
TÜRK HAVA KURUMU,İngilizce Hazırlık Programı,38640 TL,2020
TÜRK HAVA KURUMU,"Pilot Eğitimi lisans programında yıllık öğrenim ücretine ek olarak, lisans öğreniminin 1.inci, 2. nci, 3. üncü ve 4. üncü sınıflarında her dönem başında (Güz/Bahar) olmak üzere 8 eşit taksitte uçuş eğitim ücretini öderler. 2020- 2021 eğitim-öğretim yılı için Üniversitemiz tarafından belirlenen Uçuş Eğitim ücreti KDV dahil 70.000 ABD
Dolarıdır. Bu ücretlere %8 KDV dâhildir.",,2020
TED,Tüm Programlar,4370000 TL,2020
TOROS ÜNİVERSİTESİ,Mühendislik Fakültesi,3592600 TL,2020
TOROS ÜNİVERSİTESİ,"Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi",3592600 TL,2020
TOROS ÜNİVERSİTESİ,İktisadi İdari ve Sosyal Bilimler Fakültesi Psikoloji Bölümü,3592600 TL,2020
TOROS ÜNİVERSİTESİ,"İşletme, Uluslararası Finans ve Bankacılık ile Uluslararası Ticaret
ve Lojistik Bölümleri",3226900 TL,2020
