universityName,faculty,facultyFoundingYear,Üniversite Türü,Birim İli,Birim Durum
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,UZAKTAN EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,10.09.2014,VAKIF,İSTANBUL,AKTİF
ALANYA ÜNİVERSİTESİ,AÇIK VE UZAKTAN ÖĞRENME UYGULAMA VE ARAŞTIRMA MERKEZİ,10.08.2016,VAKIF,ANTALYA,AKTİF
ALANYA ÜNİVERSİTESİ,"İKTİSADİ, İDARİ VE SOSYAL BİLİMLER FAKÜLTESİ",04.08.2023,VAKIF,ANTALYA,AKTİF
ALANYA ÜNİVERSİTESİ,LİSANSÜSTÜ EĞİTİM ENSTİTÜSÜ,25.12.2019,VAKIF,ANTALYA,AKTİF
ALANYA ÜNİVERSİTESİ,MESLEK YÜKSEKOKULU,21.05.2020,VAKIF,ANTALYA,AKTİF
ALANYA ÜNİVERSİTESİ,MÜHENDİSLİK VE DOĞA BİLİMLERİ FAKÜLTESİ,04.08.2023,VAKIF,ANTALYA,AKTİF
ALANYA ÜNİVERSİTESİ,SAĞLIK BİLİMLERİ FAKÜLTESİ,04.09.2021,VAKIF,ANTALYA,AKTİF
ALANYA ÜNİVERSİTESİ,SANAT VE TASARIM FAKÜLTESİ,03.03.2011,VAKIF,ANTALYA,AKTİF
ALANYA ÜNİVERSİTESİ,SÜREKLİ EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,08.06.2022,VAKIF,ANTALYA,AKTİF
ALANYA ÜNİVERSİTESİ,TÜRKÇE VE YABANCI DİL ÖĞRETİMİ UYGULAMA VE ARAŞTIRMA MERKEZİ,15.06.2022,VAKIF,ANTALYA,AKTİF
ALANYA ÜNİVERSİTESİ,YABANCI DİLLER YÜKSEKOKULU,03.03.2011,VAKIF,ANTALYA,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,AİLE ŞİRKETLERİ YÖNETİMİ VE DANIŞMANLIĞI UYGULAMA VE ARAŞTIRMA MERKEZİ,09.12.2015,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,DİŞ HEKİMLİĞİ AĞIZ VE DİŞ SAĞLIĞI UYGULAMA VE ARAŞTIRMA MERKEZİ,08.06.2016,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,DİŞ HEKİMLİĞİ FAKÜLTESİ,26.08.2014,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,DOĞAL ÜRÜNLER UYGULAMA VE ARAŞTIRMA MERKEZİ,13.09.2017,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,ECZACILIK FAKÜLTESİ,22.05.2008,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,"ELEKTRİKLİ, OTONOM VE İNSANSIZ ARAÇLAR UYGLAMA VE ARAŞTIRMA MERKEZİ",03.03.2021,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,ENERJİ VE ÇEVRE UYGULAMA VE ARAŞTIRMA MERKEZİ,18.11.2015,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,GÜZEL SANATLAR VE TASARIM FAKÜLTESİ,22.05.2008,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,HUKUK FAKÜLTESİ,22.05.2008,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,"İKTİSADİ, İDARİ VE SOSYAL BİLİMLER FAKÜLTESİ",08.04.2016,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,İLETİŞİM FAKÜLTESİ,04.08.2023,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,İŞ SAĞLIĞI VE GÜVENLİĞİ UYGULAMA VE ARAŞTIRMA MERKEZİ,04.06.2014,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,İŞLETME FAKÜLTESİ,03.07.2017,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,LİSANSÜSTÜ EĞİTİM ENSTİTÜSÜ,28.03.2020,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,MESLEKİ EĞİTİM VE KARİYER GELİŞTİRME UYGULAMA VE ARAŞTIRMA MERKEZİ,18.11.2015,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,MÜHENDİSLİK VE MİMARLIK FAKÜLTESİ,04.09.2021,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,PAZARLAMA VE NÖROPAZARLAMA UYGULAMA VE ARAŞTIRMA MERKEZİ,06.02.2019,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,PSİKOLOJİ UYGULAMA VE ARAŞTIRMA MERKEZİ,29.02.2012,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU,02.12.2014,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,SAĞLIK UYGULAMA VE ARAŞTIRMA MERKEZİ,19.09.2018,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,SÜREKLİ EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,29.06.2011,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,TIP FAKÜLTESİ,22.05.2008,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,TOPLUMSAL CİNSİYET VE KADIN ÇALIŞMALARI UYGULAMA VE ARAŞTIRMA MERKEZİ,25.04.2017,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,TOPLUMSAL VE EKONOMİK ARAŞTIRMALAR UYGULAMA VE ARAŞTIRMA MERKEZİ,04.06.2014,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,TÜRKÇE VE YABANCI DİL ÖĞRETİMİ UYGULAMA VE ARAŞTIRMA MERKEZİ,09.04.2020,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,UYGULAMALI BİLİMLER FAKÜLTESİ,31.05.2008,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,UZAKTAN EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,30.12.2015,VAKIF,İSTANBUL,AKTİF
ALTINBAŞ ÜNİVERSİTESİ,YABANCI DİLLER YÜKSEKOKULU,22.05.2008,VAKIF,İSTANBUL,AKTİF
ANKA TEKNOLOJİ ÜNİVERSİTESİ,ADLİ BİLİMLER FAKÜLTESİ,18.06.2013,VAKIF,ANKARA,AKTİF
ANKA TEKNOLOJİ ÜNİVERSİTESİ,FEN BİLİMLERİ ENSTİTÜSÜ,18.06.2013,VAKIF,ANKARA,AKTİF
ANKA TEKNOLOJİ ÜNİVERSİTESİ,FEN FAKÜLTESİ,18.06.2013,VAKIF,ANKARA,AKTİF
ANKA TEKNOLOJİ ÜNİVERSİTESİ,MÜHENDİSLİK FAKÜLTESİ,18.06.2013,VAKIF,ANKARA,AKTİF
ANKA TEKNOLOJİ ÜNİVERSİTESİ,SOSYAL BİLİMLER ENSTİTÜSÜ,18.06.2013,VAKIF,ANKARA,AKTİF
ANKARA BİLİM ÜNİVERSİTESİ,GÜZEL SANATLAR VE TASARIM FAKÜLTESİ,17.04.2020,VAKIF,ANKARA,AKTİF
ANKARA BİLİM ÜNİVERSİTESİ,HUKUK FAKÜLTESİ,06.02.2021,VAKIF,ANKARA,AKTİF
ANKARA BİLİM ÜNİVERSİTESİ,İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ,17.04.2020,VAKIF,ANKARA,AKTİF
ANKARA BİLİM ÜNİVERSİTESİ,LİSANSÜSTÜ EĞİTİM ENSTİTÜSÜ,06.02.2021,VAKIF,ANKARA,AKTİF
ANKARA BİLİM ÜNİVERSİTESİ,MESLEK YÜKSEKOKULU,01.06.2022,VAKIF,ANKARA,AKTİF
ANKARA BİLİM ÜNİVERSİTESİ,MÜHENDİSLİK VE MİMARLIK FAKÜLTESİ,17.04.2020,VAKIF,ANKARA,AKTİF
ANKARA BİLİM ÜNİVERSİTESİ,SÜREKLİ EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,04.11.2020,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,ADALET MESLEK YÜKSEKOKULU,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,ADLİ BİLİMLER ENSTİTÜSÜ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,AĞIZ VE DİŞ SAĞLIĞI EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,05.08.2020,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,DİŞ HEKİMLİĞİ FAKÜLTESİ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,ECZACILIK FAKÜLTESİ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,FEN BİLİMLERİ ENSTİTÜSÜ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,FİZYOTERAPİ VE REHABİLİTASYON UYGULAMA VE ARAŞTIRMA MERKEZİ,16.09.2020,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,GÜZEL SANATLAR TASARIM VE MİMARLIK FAKÜLTESİ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,HUKUK FAKÜLTESİ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,"İKTİSADİ, İDARİ VE SOSYAL BİLİMLER FAKÜLTESİ",18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,İLETİŞİM FAKÜLTESİ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,MESLEK YÜKSEKOKULU,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,MÜHENDİSLİK VE DOĞA BİLİMLERİ FAKÜLTESİ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,"SAĞLIK, BİLİM VE TEKNOLOJİ ARAŞTIRMA ENSTİTÜSÜ",18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,SAĞLIK BİLİMLERİ ENSTİTÜSÜ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,SAĞLIK BİLİMLERİ FAKÜLTESİ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,SAĞLIK UYGULAMA VE ARAŞTIRMA MERKEZİ,16.07.2020,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,SİYASAL BİLGİLER FAKÜLTESİ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,SOSYAL BİLİMLER ENSTİTÜSÜ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,SÜREKLİ EĞİTİM VE KARİYER PLANLAMA UYGULAMA VE ARAŞTIRMA MERKEZİ,25.12.2019,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,TIP FAKÜLTESİ,18.05.2018,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,TÜRKÇE ÖĞRETİMİ UYGULAMA VE ARAŞTIRMA MERKEZİ,25.12.2019,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,UZAKTAN EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,15.04.2020,VAKIF,ANKARA,AKTİF
ANKARA MEDİPOL ÜNİVERSİTESİ,YABANCI DİLLER YÜKSEKOKULU,18.05.2018,VAKIF,ANKARA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,ÇOCUK EĞİTİMİ UYGULAMA VE ARAŞTIRMA MERKEZİ,14.10.2020,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,GASTRONOMİ VE MUTFAK SANATLARI UYGULAMA VE ARAŞTIRMA MERKEZİ,31.03.2021,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,23.04.2015,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,İNSANİ BİLİMLER FAKÜLTESİ,23.04.2015,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,KARİYER PLANLAMA VE MEZUNLARLA İLETİŞİM UYGULAMA VE ARAŞTIRMA MERKEZİ,29.04.2020,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,LİSANSÜSTÜ EĞİTİM ENSTİTÜSÜ,16.06.2020,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,MESLEK YÜKSEKOKULU,23.04.2015,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,MÜHENDİSLİK-MİMARLIK FAKÜLTESİ,23.04.2015,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,SAĞLIK BİLİMLERİ FAKÜLTESİ,16.06.2020,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,SANAT VE TASARIM FAKÜLTESİ,23.04.2015,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,SÜREKLİ EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,19.12.2018,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,TÜRKÇE ÖĞRETİMİ UYGULAMA VE ARAŞTIRMA MERKEZİ,05.08.2020,VAKIF,ANTALYA,AKTİF
ANTALYA BELEK ÜNİVERSİTESİ,UZAKTAN EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,22.07.2020,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,ADALET MESLEK YÜKSEKOKULU,21.07.2010,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,AĞIZ VE DİŞ SAĞLIĞI UYGULAMA VE ARAŞTIRMA MERKEZİ,16.07.2020,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,AKDENİZ VE GÜNEYDOĞU AVRUPA ÇALIŞMALARI UYGULAMA VE ARAŞTIRMA MERKEZİ,02.05.2017,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,DİŞ HEKİMLİĞİ FAKÜLTESİ,24.06.2019,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,GÜZEL SANATLAR VE MİMARLIK FAKÜLTESİ,21.07.2010,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,HUKUK FAKÜLTESİ,21.07.2010,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,"İKTİSADİ, İDARİ VE SOSYAL BİLİMLER FAKÜLTESİ",25.05.2018,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,İLETİŞİM FAKÜLTESİ,21.07.2010,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,KARŞILAŞTIRMALI HUKUK UYGULAMA VE ARAŞTIRMA MERKEZİ,02.05.2017,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,LİSANSÜSTÜ EĞİTİM ENSTİTÜSÜ,25.12.2019,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,MESLEK YÜKSEKOKULU,21.07.2010,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,MÜHENDİSLİK VE DOĞA BİLİMLERİ FAKÜLTESİ,04.09.2021,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,PSİKOLOJİK DANIŞMANLIK VE REHBERLİK UYGULAMA VE ARAŞTIRMA MERKEZİ,02.05.2017,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,SAĞLIK BİLİMLERİ FAKÜLTESİ,11.11.2019,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU,21.05.2020,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,SİVİL HAVACILIK YÜKSEKOKULU,21.07.2010,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,"SOSYAL, EKONOMİK VE POLİTİK ARAŞTIRMALAR UYGULAMA VE ARAŞTIRMA MERKEZİ",10.07.2013,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,SÜREKLİ EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,17.10.2012,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,TURİZM ÇALIŞMALARI UYGULAMA VE ARAŞTIRMA MERKEZİ,05.05.2021,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,TURİZM FAKÜLTESİ,21.07.2010,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,TÜRKÇE VE YABANCI DİLLER ÖĞRETİMİ UYGULAMA VE ARAŞTIRMA MERKEZİ,05.07.2012,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,UZAKTAN EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,06.05.2020,VAKIF,ANTALYA,AKTİF
ANTALYA BİLİM ÜNİVERSİTESİ,YABANCI DİLLER YÜKSEKOKULU,21.07.2010,VAKIF,ANTALYA,AKTİF
ATILIM ÜNİVERSİTESİ,ATILIM MESLEK YÜKSEKOKULU,22.08.1997,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,BİLGİSAYAR BİLİMLERİ FAKÜLTESİ,05.08.2010,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,DİŞ HEKİMLİĞİ FAKÜLTESİ,04.08.2023,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,FEN BİLİMLERİ ENSTİTÜSÜ,15.07.1997,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,FEN-EDEBİYAT FAKÜLTESİ,15.07.1997,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,GÖÇ ÇALIŞMALARI UYGULAMA VE ARAŞTIRMA MERKEZİ,19.08.2020,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,GÜZEL SANATLAR TASARIM VE MİMARLIK FAKÜLTESİ,21.02.2007,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,HUKUK FAKÜLTESİ,23.05.2003,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,İŞLETME FAKÜLTESİ,15.07.1997,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,KADIN SORUNLARI ARAŞTIRMA VE UYGULAMA MERKEZİ,29.05.2007,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,METAL ŞEKİLLENDİRME MÜKEMMELİYET UYGULAMA VE ARAŞTIRMA MERKEZİ,29.05.2007,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,MÜHENDİSLİK FAKÜLTESİ,15.07.1997,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,PERFORMANS YÖNETİMİ UYGULAMA VE ARAŞTIRMA MERKEZİ,29.05.2007,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,SAĞLIK BİLİMLERİ ENSTİTÜSÜ,25.05.2018,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,SAĞLIK BİLİMLERİ FAKÜLTESİ,11.03.2017,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU,21.05.2020,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,SAĞLIK UYGULAMA VE ARAŞTIRMA MERKEZİ,13.09.2023,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,SAĞLIKLI YAŞAM UYGULAMA VE ARAŞTIRMA MERKEZİ,01.04.2020,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,SAVUNMA TEKNOLOJİLERİ UYGULAMA VE ARAŞTIRMA MERKEZİ,05.01.2011,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,SİVİL HAVACILIK YÜKSEKOKULU,30.09.2010,VAKIF,ANKARA,AKTİF
ATILIM ÜNİVERSİTESİ,SOSYAL BİLİMLER ENSTİTÜSÜ,15.07.1997,VAKIF,ANKARA,AKTİF
