Üniversite,Bölüm/Fakülte,Ücret,burs_oranı,Akademik yıl
Beykent Üniversitesi ,"Radyo, Televizyon ve Sinema",247333,0,2024
Beykent Üniversitesi ,Tekstil ve Moda Tasarımı ( İndirimli) :,221333,50,2024
Beykent Üniversitesi ,Hukuk :,280000,0,2024
Beykent Üniversitesi ,Finans ve Bankacılık,234000,0,2024
Beykent Üniversitesi ,İktisat ( İndirimli) :,234000,50,2024
Beykent Üniversitesi ,İşletme,234000,0,2024
Beykent Üniversitesi ,Lojistik Yönetimi,234000,0,2024
Beykent Üniversitesi ,Sermaye Piyasası ( İndirimli) :,234000,50,2024
Beykent Üniversitesi ,Siyaset Bilimi ve Kamu Yönetimi,234000,0,2024
Beykent Üniversitesi ,Turizm İşletmeciliği,234000,0,2024
Beykent Üniversitesi ,Uluslararası İlişkiler,234000,0,2024
Beykent Üniversitesi ,Uluslararası Ticaret ve Finansman,234000,0,2024
Beykent Üniversitesi ,Yönetim Bilişim Sistemleri ( İndirimli) :,274666,50,2024
Beykent Üniversitesi ,Dijital Oyun Tasarımı ( İndirimli) :,274667,50,2024
Beykent Üniversitesi ,Görsel İletişim Tasarımı,222667,0,2024
Beykent Üniversitesi ,Halkla İlişkiler ve Reklamcılık,222667,0,2024
Beykent Üniversitesi ,Medya ve İletişim,222667,0,2024
Beykent Üniversitesi ,Televizyon Haberciliği ve Programcılığı,222667,0,2024
Beykent Üniversitesi ,Yeni Medya,222667,0,2024
Beykent Üniversitesi ,Bilgisayar Mühendisliği,364000,0,2024
Beykent Üniversitesi ,Biyomedikal Mühendisliği  ( İndirimli) :,103030,50,2024
Beykent Üniversitesi ,Elektrik-Elektronik Mühendisliği,222666,0,2024
Beykent Üniversitesi ,Endüstri Mühendisliği ( İndirimli) :,260000,50,2024
Bezm-i Âlem Vakıf Üniversitesi ,Tıp Fakültesi :,720000,50,2024
Bezm-i Âlem Vakıf Üniversitesi ,Tıp Fakültesi :,360000,0,2024
Bezm-i Âlem Vakıf Üniversitesi ,Diş Hekimliği Fakültesi :,700000,25,2024
Bezm-i Âlem Vakıf Üniversitesi ,Diş Hekimliği Fakültesi :,525000,0,2024
Bezm-i Âlem Vakıf Üniversitesi ,Eczacılık Fakültesi :,520000,25,2024
Bezm-i Âlem Vakıf Üniversitesi ,Eczacılık Fakültesi :,390000,0,2024
Bezm-i Âlem Vakıf Üniversitesi ,Beslenme ve Diyetetik Bölümü :,300000,50,2024
Bezm-i Âlem Vakıf Üniversitesi ,Beslenme ve Diyetetik Bölümü :,150000,0,2024
Bezm-i Âlem Vakıf Üniversitesi ,Fizyoterapi ve Rehabilitasyon Bölümü:,300000,50,2024
Bezm-i Âlem Vakıf Üniversitesi ,Fizyoterapi ve Rehabilitasyon Bölümü:,150000,0,2024
Bezm-i Âlem Vakıf Üniversitesi ,Hemşirelik Bölümü:,250000,50,2024
Bezm-i Âlem Vakıf Üniversitesi ,Hemşirelik Bölümü:,125000,0,2024
Bezm-i Âlem Vakıf Üniversitesi ,Odyoloji Bölümü:,288000,50,2024
Bezm-i Âlem Vakıf Üniversitesi ,Odyoloji Bölümü:,144000,0,2024
Bezm-i Âlem Vakıf Üniversitesi ,Sağlık Yönetimi Bölümü:,201600,50,2024
Bezm-i Âlem Vakıf Üniversitesi ,Sağlık Yönetimi Bölümü:,100800,0,2024
Bezm-i Âlem Vakıf Üniversitesi ,Ağız ve Diş Sağlığı :,180000,50,2024
Bezm-i Âlem Vakıf Üniversitesi ,Ağız ve Diş Sağlığı :,90000,0,2024
Bezm-i Âlem Vakıf Üniversitesi ,Ameliyathane Hizmetleri:,180000,50,2024
