İSTANBUL GALATA ÜNİVERSİTESİ,12.06.2019,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL GEDİK ÜNİVERSİTESİ,03.03.2011,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL GELİŞİM ÜNİVERSİTESİ,03.03.2011,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL KENT ÜNİVERSİTESİ,07.09.2016,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,15.07.1997,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL MEDİPOL ÜNİVERSİTESİ,07.07.2009,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,17.09.2009,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL OKAN ÜNİVERSİTESİ,18.12.1999,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL RUMELİ ÜNİVERSİTESİ,23.04.2015,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,24.04.2010,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,18.05.2018,,VAKIF,İSTANBUL,MARMARA,
,,,,,,
İSTANBUL TİCARET ÜNİVERSİTESİ,14.04.2001,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL TOPKAPI ÜNİVERSİTESİ,24.11.2016,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,28.02.2009,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL 29 MAYIS ÜNİVERSİTESİ,24.04.2010,,VAKIF,İSTANBUL,MARMARA,
İSTİNYE ÜNİVERSİTESİ,23.04.2015,,VAKIF,İSTANBUL,MARMARA,
İZMİR EKONOMİ ÜNİVERSİTESİ,14.04.2001,,VAKIF,İZMİR,EGE,
İZMİR TINAZTEPE ÜNİVERSİTESİ,18.05.2018,,VAKIF,İZMİR,EGE,
KADİR HAS ÜNİVERSİTESİ,30.05.1997,,VAKIF,İSTANBUL,MARMARA,
KAPADOKYA ÜNİVERSİTESİ,16.09.2005,,VAKIF,NEVŞEHİR,İÇ ANADOLU,
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,17.04.2020,,VAKIF,KOCAELİ,MARMARA,
KOÇ ÜNİVERSİTESİ,07.03.1992,,VAKIF,İSTANBUL,MARMARA,
KONYA GIDA VE TARIM ÜNİVERSİTESİ,18.06.2013,,VAKIF,KONYA,İÇ ANADOLU,
KTO KARATAY ÜNİVERSİTESİ,07.07.2009,,VAKIF,KONYA,İÇ ANADOLU,
LOKMAN HEKİM ÜNİVERSİTESİ,20.12.2017,,VAKIF,ANKARA,İÇ ANADOLU,
MALTEPE ÜNİVERSİTESİ,15.07.1997,,VAKIF,İSTANBUL,MARMARA,
,,,,,,
MEF ÜNİVERSİTESİ,27.04.2012,,VAKIF,İSTANBUL,MARMARA,
MUDANYA ÜNİVERSİTESİ,11.03.2022,,VAKIF,BURSA,MARMARA,
NUH NACİ YAZGAN ÜNİVERSİTESİ,07.07.2009,,VAKIF,KAYSERİ,İÇ ANADOLU,
OSTİM TEKNİK ÜNİVERSİTESİ,01.07.2017,,VAKIF,ANKARA,İÇ ANADOLU,
ÖZYEĞİN ÜNİVERSİTESİ,18.05.2007,,VAKIF,İSTANBUL,MARMARA,
PİRİ REİS ÜNİVERSİTESİ,30.01.2008,,VAKIF,İSTANBUL,MARMARA,
SABANCI ÜNİVERSİTESİ,07.06.1996,,VAKIF,İSTANBUL,MARMARA,
SANKO ÜNİVERSİTESİ,18.06.2013,,VAKIF,GAZİANTEP,GÜNEYDOĞU ANADOLU,
TED ÜNİVERSİTESİ,07.07.2009,,VAKIF,ANKARA,İÇ ANADOLU,
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,01.07.2003,,VAKIF,ANKARA,İÇ ANADOLU,
TOROS ÜNİVERSİTESİ,07.07.2009,,VAKIF,MERSİN,AKDENİZ,
TÜRK HAVA KURUMU ÜNİVERSİTESİ,03.03.2011,,VAKIF,ANKARA,İÇ ANADOLU,
UFUK ÜNİVERSİTESİ,18.12.1999,,VAKIF,ANKARA,İÇ ANADOLU,
ÜSKÜDAR ÜNİVERSİTESİ,03.03.2011,,VAKIF,İSTANBUL,MARMARA,
YAŞAR ÜNİVERSİTESİ,14.04.2001,,VAKIF,İZMİR,EGE,
,,,,,,
YEDİTEPE ÜNİVERSİTESİ,07.06.1996,,VAKIF,İSTANBUL,MARMARA,
YÜKSEK İHTİSAS ÜNİVERSİTESİ,02.08.2013,,VAKIF,ANKARA,İÇ ANADOLU,
,,,,,,
